None,E(keV),psi0rSi111,psi0iSi111,psihrSi111,psihiSi111,psihbrSi111,psihbiSi111
1,2.0,-0.00020518,6.7309e-05,0.00010169,4.7016e-05,0.00010169,4.7016e-05
2,2.05,-0.00020178,6.1552e-05,0.00010133,4.2991e-05,0.00010133,4.2991e-05
3,2.1,-0.00019702,5.6402e-05,9.9866e-05,3.9389e-05,9.9866e-05,3.9389e-05
4,2.15,-0.00019157,5.1781e-05,9.779e-05,3.6158e-05,9.779e-05,3.6158e-05
5,2.2,-0.00018577,4.7627e-05,9.5361e-05,3.3253e-05,9.5361e-05,3.3253e-05
6,2.25,-0.00017985,4.3884e-05,9.2736e-05,3.0634e-05,9.2736e-05,3.0634e-05
7,2.3,-0.00017393,4.0502e-05,9.0015e-05,2.8269e-05,9.0015e-05,2.8269e-05
8,2.35,-0.00016809,3.7442e-05,8.7263e-05,2.6128e-05,8.7263e-05,2.6128e-05
9,2.4,-0.00016239,3.4667e-05,8.4522e-05,2.4186e-05,8.4522e-05,2.4186e-05
10,2.45,-0.00015685,3.2145e-05,8.1822e-05,2.2422e-05,8.1822e-05,2.2422e-05
11,2.5,-0.0001515,2.9849e-05,7.9181e-05,2.0816e-05,7.9181e-05,2.0816e-05
12,2.55,-0.00014634,2.7755e-05,7.6611e-05,1.9351e-05,7.6611e-05,1.9351e-05
13,2.6,-0.00014137,2.5842e-05,7.412e-05,1.8013e-05,7.412e-05,1.8013e-05
14,2.65,-0.00013661,2.4092e-05,7.1714e-05,1.6789e-05,7.1714e-05,1.6789e-05
15,2.7,-0.00013204,2.2487e-05,6.9393e-05,1.5667e-05,6.9393e-05,1.5667e-05
16,2.75,-0.00012767,2.1015e-05,6.7158e-05,1.4637e-05,6.7158e-05,1.4637e-05
17,2.8,-0.00012347,1.9661e-05,6.501e-05,1.3691e-05,6.501e-05,1.3691e-05
18,2.85,-0.00011946,1.8415e-05,6.2946e-05,1.2823e-05,6.2946e-05,1.2823e-05
19,2.9,-0.00011562,1.7266e-05,6.0963e-05,1.2022e-05,6.0963e-05,1.2022e-05
20,2.95,-0.00011194,1.6205e-05,5.9061e-05,1.1283e-05,5.9061e-05,1.1283e-05
21,3.0,-0.00010843,1.5225e-05,5.7236e-05,1.0601e-05,5.7236e-05,1.0601e-05
22,3.05,-0.00010506,1.4318e-05,5.5484e-05,9.9687e-06,5.5484e-05,9.9687e-06
23,3.1,-0.00010183,1.3477e-05,5.3804e-05,9.3833e-06,5.3804e-05,9.3833e-06
24,3.15,-9.8743e-05,1.2698e-05,5.2192e-05,8.8402e-06,5.2192e-05,8.8402e-06
25,3.2,-9.5784e-05,1.1973e-05,5.0646e-05,8.336e-06,5.0646e-05,8.336e-06
26,3.25,-9.2949e-05,1.13e-05,4.9162e-05,7.8672e-06,4.9162e-05,7.8672e-06
27,3.3,-9.0231e-05,1.0674e-05,4.7738e-05,7.431e-06,4.7738e-05,7.431e-06
28,3.35,-8.7625e-05,1.009e-05,4.637e-05,7.0245e-06,4.637e-05,7.0245e-06
